Company,ISIN,Market,Compartment,Country,Ticker,industry,sector,overallRisk,beta,dividendYield,fiveYearAvgDividendYield,trailingPE,forwardPE,regularMarketVolume,marketCap,currency,enterpriseValue,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingMargins
EAUX DE ROYAN,FR0007200100,Euronext Access Paris,Euronext Access,France,MLEDR.PA,Utilities - Regulated Water,Utilities,,0.027883,7.12,,,,11.0,7705600.0,EUR,14515200.0,0.062800005,22.283,1.9297221,-2.52,,,,,17486888.0,97.583,-0.00884,0.22680001,3384815.0,-0.025610002
EBUSCO HOLDING N.V.,NL0015002AG2,Euronext Amsterdam,Compartment B,Netherlands,EBUS.AS,Auto Manufacturers,Consumer Cyclical,,0.832,,,,0.36631578,218916.0,28246762.0,EUR,84649760.0,0.0,-0.134,-2.597015,-9.34,0.95,2031000.0,0.025,58434000.0,848000.0,0.019,-0.47967997,-3.26188,-28737000.0,-1.4372901
ECOMEMBRANE,IT0005543332,Euronext Growth Milan,Euronext Growth,Italy,ECMB.MI,Packaging & Containers,Consumer Cyclical,,0.543,,,Infinity,13.670245,3000.0,18909282.0,EUR,,0.001,,,0.0,0.32333,9774833.0,,4701137.0,22536612.0,,-0.00421,0.00592,8246038.0,-0.30125
ECOMIAM SA,FR0013534617,Euronext Growth Paris,Euronext Growth,France,ALECO.PA,Food Distribution,Consumer Defensive,,1.079,,,,-30.57143,850.0,11644577.0,EUR,,-0.091309994,1.04,2.0576925,-0.67,-0.07,,,,39053000.0,,,,15458000.0,-0.098000005
ECONOCOM GROUP,BE0974313455,Euronext Brussels,Compartment B,Belgium,ECONB.BR,Information Technology Services,Technology,,0.829,6.49,5.63,6.4166665,3.179125,55441.0,257252384.0,EUR,,0.00219,2.448,0.62908494,0.24,0.48441,523000000.0,,560000000.0,2923300096.0,,0.025179999,0.11451,118000000.0,0.04088
ECOSLOPS,FR0011490648,Euronext Growth Paris,Euronext Growth,France,FR0011490648.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
ECOSUNTEK,IT0005654766,Euronext Growth Milan,Euronext Growth,Italy,ECK.MI,Utilities - Diversified,Utilities,,0.07,,,31.714287,9.367088,18900.0,38036576.0,EUR,45999480.0,0.00124,1.026,2.1637428,0.07,0.237,73631064.0,4.297,70950200.0,1026276480.0,59.899,0.03338,0.21646,23283332.0,0.0111
EDGELAB,IT0005627762,Euronext Growth Milan,Euronext Growth,Italy,ELB.MI,Aerospace & Defense,Industrials,,,,,,,1500.0,15936269.0,EUR,13578488.0,0.19951001,1.293,4.006187,-0.0,,2366192.0,0.769,8410.0,1464722.0,0.476,0.07071,0.13856,753624.0,-3.21789
EDIL SAN FELICE,IT0005561441,Euronext Growth Milan,Euronext Growth,Italy,ESF.MI,Infrastructure Operations,Industrials,,-0.619,1.56,,13.333333,8.906883,1160.0,84695672.0,EUR,,0.15275,10.1,0.43564355,0.33,0.494,17938636.0,,8397427.0,41794396.0,,0.07443,0.1721,29518552.0,0.22913
EDILIZIACROBATICA,IT0005351504,Euronext Growth Milan,Euronext Growth,Italy,EDAC.MI,Specialty Business Services,Industrials,,0.71,,,,13.253538,7850.0,43321784.0,EUR,101804528.0,-0.022869999,2.891,1.7848494,-0.44,0.38933,8562000.0,1.02,66635000.0,163732000.0,19.44,0.0107700005,-0.14706999,116027000.0,0.03273
EDITIONS DU SIGNE,FR0000052755,Euronext Access Paris,Euronext Access,France,MLEDS.PA,Publishing,Communication Services,,,,,2.2,,5.0,125400.0,EUR,,0.0,,,0.04,,,,,,,,,,0.0
EDUFORM'ACTION,FR0010882886,Euronext Access Paris,Euronext Access,France,MLEFA.PA,Asset Management,Financial Services,,0.615355,,,Infinity,,200.0,6858875.0,EUR,4423693.0,0.00772,0.317,1.104101,0.0,,,,,165915.0,0.031,0.012519999,1.3179,104833.0,0.03526
EGIDE,FR0000072373,Euronext Growth Paris,Euronext Growth,France,ALGID.PA,Electronic Components,Technology,,0.364,,,,-9.04,39961.0,17725752.0,EUR,23415068.0,-0.09847,0.217,4.165899,-0.03,-0.1,2263000.0,0.115,7959000.0,30160000.0,1.539,-0.05934,-0.60335,19193000.0,-0.08906999
E-GLOBE,IT0005557514,Euronext Growth Milan,Euronext Growth,Italy,EGB.MI,Building Products & Equipment,Industrials,,2.164,,,,,4000.0,9106412.0,EUR,,-0.07248,,,-0.12,,4290665.0,,5334748.0,33710876.0,,,,-551830.0,0.03126
EIDESVIK OFFSHORE,NO0010263023,Oslo Bors,Compartment C,Norway,EIOF.OL,Oil & Gas Equipment & Services,Energy,10,0.471,2.27,2.95,12.59434,-2.9148474,12051.0,974327552.0,NOK,1770799360.0,0.09804,22.131,0.60322624,1.06,-4.58,290545984.0,3.994,803420032.0,788712000.0,10.846,0.022839999,0.061950002,427756992.0,0.19924
EKINOPS,FR0011466069,Euronext Paris,Compartment C,France,EKI.PA,Communication Equipment,Technology,10,1.152,,,,17.269674,96309.0,59721540.0,EUR,62469376.0,-0.076409996,4.176,0.52921456,-0.34,0.12797,36739000.0,1.36,39525000.0,117368000.0,4.341,0.01526,-0.07691,64231000.0,0.03537
EKOPAK NV,BE0974380124,Euronext Brussels,Compartment B,Belgium,BE0974380124.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
EL.EN.,IT0005453250,Euronext Milan,Compartment B,Italy,ELN.MI,Medical Devices,Healthcare,10,1.12,1.6,1.87,21.242424,18.267101,40164.0,1123691904.0,EUR,,0.07334,4.806,2.9171867,0.66,0.7675,,,,580412480.0,7.069,,,248733664.0,0.14797
ELEC.STRASBOURG,FR0000031023,Euronext Paris,Compartment B,France,ELEC.PA,Utilities - Renewable,Utilities,,0.432,5.12,5.19,9.921551,,3141.0,1541417984.0,EUR,1228096000.0,0.116569996,83.708,2.5684521,21.67,,333263008.0,46.484,10513000.0,1333277952.0,185.983,0.0656,0.28101,407228992.0,0.16997999
ELECTRICITE ET EAUX DE MADAGASCAR,FR0000035719,Euronext Paris,Compartment C,France,EEM.PA,Asset Management,Financial Services,,-0.231,,,,,16.0,9240105.0,EUR,8029385.0,0.0,2.209,1.0683566,-0.8,,9688000.0,1.688,4006000.0,411000.0,0.071,-0.0004,-0.30365,-114000.0,8.09766
ELECTROMAGNETIC GEOSERVICES,NO0010358484,Oslo Bors,Compartment C,Norway,EMGS.OL,Oil & Gas Equipment & Services,Energy,10,0.35,,,1.4157895,-3.3625,428480.0,35230844.0,NOK,52883664.0,-0.60441,-0.78985184,-0.34057018,0.19,-0.08,3116000.0,0.024,19983000.0,23585000.0,0.18,-0.2018,,7475000.0,-0.84183
ELEKTROIMPORTØREN AS,NO0010911902,Euronext Growth Oslo,Euronext Growth,Norway,ELIMP.OL,Specialty Retail,Consumer Cyclical,,0.904,2.48,,26.451612,7.5576034,70761.0,832828032.0,NOK,1301528064.0,0.01773,14.155,1.1586012,0.62,2.17,150400000.0,2.962,619100032.0,1788099968.0,35.211,0.03021,0.04566,637900032.0,0.07116
ELES,IT0005373417,Euronext Growth Milan,Euronext Growth,Italy,ELES.MI,Semiconductor Equipment & Materials,Technology,,1.011,,,,24.46154,32000.0,58994216.0,EUR,61569552.0,-0.00026,1.501,2.1185875,-0.06,0.13,7924000.0,0.45,13447000.0,34413000.0,2.023,0.00756,-0.00034000003,22863000.0,-0.040799998
ELICA,IT0003404214,Euronext Milan,Compartment C,Italy,ELC.MI,"Furnishings, Fixtures & Appliances",Consumer Cyclical,,0.777,3.01,,,29.12088,19100.0,77661144.0,EUR,,-0.021710001,2.56,0.5175782,-0.17,0.0455,,,,460600000.0,7.826,,,460600000.0,0.0
ELIOR GROUP,FR0011950732,Euronext Paris,Compartment B,France,ELIOR.PA,Restaurants,Consumer Cyclical,7,2.073,1.46,3.17,8.270588,6.580549,851021.0,711650112.0,EUR,1829545984.0,0.0143099995,3.295,0.85341424,0.34,0.42732,195000000.0,0.77,1311000064.0,6150000128.0,24.283,0.02875,0.108610004,1020000000.0,0.01907
ELKEM,NO0010816093,Oslo Bors,Compartment A,Norway,ELK.OL,Specialty Chemicals,Basic Materials,8,1.024,1.07,10.8,60.170216,9.343602,1594620.0,17935726592.0,NOK,27315726336.0,-0.0404,37.717,0.74979454,0.47,3.02667,2694000128.0,4.248,11969999872.0,16535000064.0,26.072,0.01678,0.01539,8903999488.0,0.05105
ELLIPTIC LABORATORIES ASA,NO0010722283,Oslo Bors,Compartment B,Norway,ELABS.OL,Software - Infrastructure,Technology,,0.834,,,,10.579938,416531.0,540121152.0,NOK,498481120.0,-0.038399998,2.956,1.7354532,-0.06,0.48488,54806000.0,0.521,13166000.0,141052000.0,1.32,0.01042,-0.01732,52136000.0,0.15196
ELMERA GROUP ASA,NO0010815673,Oslo Bors,Compartment B,Norway,ELMRA.OL,Utilities - Regulated Electric,Utilities,,0.99,9.22,9.53,21.9863,9.887053,790605.0,3509559808.0,NOK,5654295552.0,0.01343,12.427,2.583085,1.46,3.24667,1371371008.0,12.543,3341373952.0,12118147072.0,110.962,0.03601,0.105450004,1687154048.0,0.03346
ELOPAK ASA,NO0011002586,Oslo Bors,Compartment B,Norway,NO0011002586.SG,,,,,,,,,954.0,,EUR,,,,,,,,,,,,,,,
ELSA SOLUTIONS,IT0005561466,Euronext Growth Milan,Euronext Growth,Italy,ELSA.MI,Specialty Industrial Machinery,Industrials,,0.464,,,12.117646,14.714285,1000.0,7586980.0,EUR,12290863.0,0.03244,2.863,0.719525,0.17,0.14,1235324.0,0.335,5939207.0,19705424.0,6.044,0.02858,0.05169,4686004.0,0.06084
EMAK,IT0001237053,Euronext Milan,Compartment B,Italy,EM.MI,Tools & Accessories,Industrials,,1.497,2.69,3.39,11.462501,7.2777777,34590.0,149322080.0,EUR,358568384.0,0.021329999,1.714,0.5350058,0.08,0.126,77597000.0,0.468,279224992.0,622547968.0,3.814,0.03233,0.04899,296732992.0,0.03303
EMBENTION SISTEMAS INTELIGENTES SA,ES0105639001,Euronext Access Paris,Euronext Access,Spain,MLUAV.PA,Computer Hardware,Technology,,,,,96.734695,,29.0,201286944.0,EUR,,0.0,,,0.49,,,,,,,,,,0.0
EMEIS,FR001400NLM4,Euronext Paris,Compartment A,France,EMEIS.PA,Medical Care Facilities,Healthcare,7,0.465,,1.06,,-29.779297,874185.0,2496541440.0,EUR,9799130112.0,-0.050669998,9.844,1.5735474,-1.76,-0.52016,375577984.0,2.329,7678078976.0,5772239872.0,35.508,0.0054400004,-0.16815001,765873984.0,0.03506
EMMA VILLAS,IT0005562183,Euronext Growth Milan,Euronext Growth,Italy,EAV.MI,Resorts & Casinos,Consumer Cyclical,,,,,,13.9,10000.0,9687605.0,EUR,,0.0,,,-0.19,0.1,,,,,,,,,0.0
EMOVA GROUP,FR0013356755,Euronext Growth Paris,Euronext Growth,France,ALEMV.PA,Specialty Retail,Consumer Cyclical,,0.405,,,4.357143,2.44,2.0,12469774.0,EUR,28133592.0,0.05829,1.46,0.4178082,0.14,0.25,1681000.0,0.082,17111000.0,28034000.0,2.291,0.03549,0.066,19819000.0,0.14321999
ENA (ex-S.I.F. ITALIA),IT0005468290,Euronext Growth Milan,Euronext Growth,Italy,ENA.MI,Real Estate Services,Real Estate,,-0.589,,,,-20.5,9500.0,6956686.0,EUR,3931456.0,-0.41187,0.847,0.9681228,-0.27,-0.04,3073740.0,0.362,39549.0,4845493.0,0.571,-0.07948,-0.26165,2318484.0,-0.27041
ENAV,IT0005176406,Euronext Milan,Compartment A,Italy,ENAV.MI,Airports & Air Services,Industrials,1,0.587,5.17,,28.63158,28.425123,1266858.0,2939369728.0,EUR,3132460032.0,0.103920005,2.269,2.397532,0.19,0.19138,400428000.0,0.74,586966016.0,989172800.0,1.867,0.03559,0.08825,979433728.0,0.54929
ENCRES DUBUIT,FR0004030708,Euronext Growth Paris,Euronext Growth,France,ALDUB.PA,Specialty Chemicals,Basic Materials,,,,6.15,,18.923079,1340.0,7478274.0,EUR,4984411.0,-0.09356,5.729,0.4293943,-0.57,0.13,3698000.0,1.186,1013000.0,18993000.0,6.299,-0.07366,-0.094119996,7205000.0,-0.09536
ENDÚR,NO0012555459,Oslo Bors,Compartment C,Norway,ENDUR.OL,Engineering & Construction,Industrials,,0.353,,,42.024292,17.960808,56511.0,5249914368.0,NOK,5844051968.0,0.02224,45.788,2.2669697,2.47,5.77925,875600000.0,17.402,1564499968.0,5170800128.0,117.519,0.03508,0.06571,2010700032.0,0.059510004
ENENSYS,FR0013330792,Euronext Growth Paris,Euronext Growth,France,ALNN6.PA,Communication Equipment,Technology,,0.975,1.43,,5.470588,-8.454546,2348.0,7018129.0,EUR,12860999.0,-0.00865,0.092,10.108696,0.17,-0.11,4046000.0,0.516,9767000.0,12374000.0,3.096,0.01994,-0.12312999,9697000.0,-0.12765001
ENERGEIA AS,NO0013698431,Euronext Growth Oslo,Euronext Growth,Norway,ENERG.OL,Solar,Technology,,1.545,,,,-85.0,9894.0,71156208.0,NOK,83843200.0,-0.83936,20.65,0.37046006,-0.75,-0.09,17008000.0,3.577,65642000.0,61692320.0,12.975,-0.09592,-0.50597,44106312.0,-0.67437
ENERGISME,FR0013399359,Euronext Growth Paris,Euronext Growth,France,ALNRG.PA,Software - Application,Technology,,0.148,,,,,7860855.0,11933896.0,EUR,11949201.0,-0.64053,0.001,5.4,-0.0,,2018253.0,0.001,2887900.0,5434357.0,0.003,-0.14102,-0.73826,-1213128.0,-0.46258998
ENERGY,IT0005500712,Euronext Growth Milan,Euronext Growth,Italy,ENY.MI,Electrical Equipment & Parts,Industrials,,1.131,,,,24.067795,20000.0,43779012.0,EUR,49029736.0,-0.45687,0.845,0.8402366,-0.27,0.0295,2790333.0,0.052,13461773.0,33464872.0,0.619,-0.11948,-0.28719,-6422643.0,-0.097950004
ENERGY SOLAR TECH,ES0105687000,Euronext Growth Paris,Euronext Growth,Spain,ETC.MC,Utilities - Renewable,Utilities,,1.539,,,32.5,,10755.0,70073576.0,,70097752.0,0.00661,1.709,1.5213574,0.08,,8091940.0,0.303,13926567.0,64336460.0,2.406,0.02063,0.00937,11725313.0,0.04877
ENERGY TIME,IT0005660219,Euronext Growth Milan,Euronext Growth,Italy,ET.MI,Solar,Technology,,,,,14.48,,9500.0,23019582.0,EUR,,0.01867,,,0.25,,59335.0,,1762158.0,8150560.0,,,,914587.0,0.04326
ENERGYVISION ,BE0974499312,Euronext Paris,Compartment B,Belgium,ENRGY.BR,Utilities - Renewable,Utilities,,,,,59.0,24.413582,10776.0,571590848.0,EUR,634747648.0,0.087349996,1.551,6.0863957,0.16,0.38667,8196000.0,0.15,126241000.0,119547000.0,1.979,,,43049000.0,0.21624
ENERVIT,IT0004356751,Euronext Milan,Compartment C,Italy,ENV.MI,Packaged Foods,Consumer Defensive,,0.51,3.9,2.08,16.24,14.0,15195.0,72268000.0,EUR,79380248.0,0.044320002,1.829,2.2197921,0.25,0.29,4060216.0,0.228,11172465.0,100209304.0,5.63,0.05133,0.13906,68078168.0,0.07803
ENOGIA,FR0014004974,Euronext Growth Paris,Euronext Growth,France,ALENO.PA,Specialty Industrial Machinery,Industrials,,0.663,,,1.2591007,23.047977,7367.0,36935408.0,EUR,41314688.0,-0.03566,1.192,4.9328856,4.67,0.25512,2294000.0,0.365,6638000.0,11749000.0,1.863,-0.02814,-0.056739997,5156000.0,-0.04715
ENSURGE MICROPOWER ASA,NO0013186460,Oslo Bors,Compartment C,Norway,ENSU.OL,Electronic Components,Technology,,1.039,,,,,2116093.0,762915008.0,NOK,663887360.0,0.0,0.047581434,16.540064,-0.1,,1064000.0,0.001,10676000.0,25000.0,0.0,-0.30193,-7.9072,25000.0,-83.52
ENTECH,FR0014004362,Euronext Growth Paris,Euronext Growth,France,ALESE.PA,Utilities - Renewable,Utilities,,0.236,,,,30.676926,19865.0,146718016.0,EUR,145092160.0,-0.0163,1.759,5.6679935,-0.04,0.325,25434786.0,1.733,23727584.0,49210704.0,3.377,,,13541830.0,0.00086000003
ENTRA,NO0010716418,Oslo Bors,Compartment A,Norway,ENTRA.OL,Real Estate Services,Real Estate,1,1.292,1.91,3.51,18.00948,16.557734,70570.0,20760221696.0,NOK,53222055936.0,0.37463,135.89,0.83891386,6.33,6.885,261000000.0,1.433,30944999424.0,3075000064.0,16.886,0.02674,0.04862,2807000064.0,0.97179
ENVIPCO,NL0015000GX8,Euronext Amsterdam,Compartment C,Netherlands,ENVI.AS,Pollution & Treatment Controls,Industrials,,0.994,,,,15.142755,69099.0,276918688.0,EUR,242699680.0,-0.10782,1.598,2.6220274,-0.18,0.2767,62706000.0,0.949,28456000.0,99140000.0,1.716,-0.02021,-0.12508,37393000.0,-0.12002
EO2,FR0010465534,Euronext Growth Paris,Euronext Growth,France,ALEO2.PA,Lumber & Wood Production,Basic Materials,,0.189,,,,,1939.0,6277410.0,EUR,14043630.0,-0.00308,8.484,0.31117398,-0.34,,3822000.0,1.607,11211000.0,30156000.0,13.847,-0.02239,-0.03153,8983000.0,-0.17101999
E-PANGO,FR0014004339,Euronext Growth Paris,Euronext Growth,France,ALAGO.PA,Utilities - Renewable,Utilities,,2.781,,,5.79,,236570.0,4701105.0,EUR,5411017.0,0.0,-0.054,-2.1444445,0.02,,216775.0,0.007,2091332.0,15999.0,0.0,-0.19951001,,-538380.0,-1.27398
EPRCOMUNICAZIONE,IT0005519837,Euronext Growth Milan,Euronext Growth,Italy,EPRB.MI,Consulting Services,Industrials,,,2.65,,,6.2857146,2450.0,4056226.0,EUR,,0.0,,,-0.08,0.21,,,,,,,,,0.0
EQUASENS,FR0012882389,Euronext Paris,Compartment B,France,EQS.PA,Health Information Services,Healthcare,9,0.864,3.54,1.89,14.748953,11.610672,10705.0,529856864.0,EUR,534367488.0,0.16155,15.299,2.3040721,2.39,3.036,43292000.0,2.88,38510000.0,224732992.0,14.951,,,63958000.0,0.18107
EQUITA GROUP,IT0005312027,Euronext Milan,Compartment B,Italy,EQUI.MI,Capital Markets,Financial Services,,0.367,5.07,7.64,13.422222,13.645092,46713.0,309424768.0,EUR,279135008.0,0.20131999,2.144,2.8171642,0.45,0.44265,191395872.0,3.742,167602224.0,113453320.0,2.265,0.06179,0.21868,106285504.0,0.30247
EQVA ASA,NO0010708605,Oslo Bors,Compartment C,Norway,EQVA.OL,Utilities - Renewable,Utilities,,0.739,,,140.0,,144251.0,232367296.0,NOK,472182336.0,0.030350002,4.737,0.5910914,0.02,,142410000.0,1.742,377651008.0,1278077056.0,14.635,0.029860001,0.01998,729672000.0,0.0521
ER CAPITAL N.V.,NL0010389508,Euronext Amsterdam,Compartment C,Netherlands,ERC.AS,Real Estate Services,Real Estate,,,144.5,,,,293.0,1957898.0,EUR,23138144.0,-0.59916,2.631,0.36297983,-0.35,,96681.0,0.026,19725500.0,3164133.0,0.861,-0.0075499997,-0.20839001,2163664.0,0.49525002
ERAMET,FR0000131757,Euronext Paris,Compartment A,France,ERA.PA,Other Industrial Metals & Mining,Basic Materials,7,0.94,2.58,1.99,,7.1978626,73575.0,1721753216.0,EUR,4168964096.0,-0.03328,36.471,1.6561103,-3.37,8.39138,746000000.0,26.061,2470000128.0,2915000064.0,101.567,-0.00087,-0.064959995,1996000000.0,-0.068119995
ERREDUE,IT0005521247,Euronext Growth Milan,Euronext Growth,Italy,RDUE.MI,Specialty Industrial Machinery,Industrials,,0.308,2.05,,18.57143,13.49481,200.0,48750000.0,EUR,32327436.0,0.14856,5.146,1.5157404,0.42,0.578,24031360.0,3.845,7608798.0,17784492.0,2.847,0.03641,0.08422,10168446.0,0.11828
ESAUTOMOTION,IT0005337107,Euronext Growth Milan,Euronext Growth,Italy,ESAU.MI,Specialty Industrial Machinery,Industrials,,0.623,,2.03,49.142857,,45500.0,44341600.0,EUR,37746600.0,0.030469999,2.556,1.345853,0.07,,9228000.0,0.776,5863000.0,28291000.0,2.157,0.024939999,0.02665,4836000.0,0.09126
ESI,IT0005421885,Euronext Growth Milan,Euronext Growth,Italy,ESIGM.MI,Engineering & Construction,Industrials,,0.522,,,16.75,,38700.0,10086671.0,EUR,10767708.0,0.0379,0.572,2.3426573,0.08,,1740584.0,0.231,2417927.0,16426383.0,2.182,0.029690001,0.15574001,5796870.0,0.05452
ESPE,IT0005573818,Euronext Growth Milan,Euronext Growth,Italy,ESPE.MI,Engineering & Construction,Industrials,,,5.0,,7.74359,,750.0,36665140.0,EUR,46854484.0,0.10052,1.272,2.374214,0.39,,3397104.0,0.28,12709559.0,47200232.0,3.888,0.05588,0.34504002,18445158.0,0.15141
ESPRINET,IT0003850929,Euronext Milan,Compartment B,Italy,PRT.MI,Electronics & Computer Distribution,Technology,3,1.154,6.5,2.83,14.809524,10.812502,142621.0,307532352.0,EUR,639633408.0,0.00496,6.824,0.91148883,0.42,0.57526,141272992.0,2.563,438060000.0,4253056000.0,85.256,0.01629,0.056209996,235274000.0,0.00629
Estoril-Sol SGPS-Nominativas,PTESO0AM0000,Euronext Lisbon,Compartment C,Portugal,ESON.LS,Resorts & Casinos,Consumer Cyclical,,0.083,,,,,480.0,42952032.0,EUR,-20996294.0,-0.04577,9.068,0.39700043,-0.86,,69168672.0,5.797,607684.0,224749760.0,18.837,0.02655,-0.025190001,175640432.0,0.02691
ESTRIMA,IT0005468191,Euronext Growth Milan,Euronext Growth,Italy,ESTM.MI,Auto Manufacturers,Consumer Cyclical,,-0.042,,,,-2.4014409,205200.0,3571413.0,EUR,5176260.0,-0.071729995,0.241,0.4979253,-0.26,-0.04997,4754127.0,0.16,6358987.0,26516164.0,0.891,-0.03007,-0.28893998,5994275.0,-0.04025
ETHERO,FR0010424697,Euronext Growth Paris,Euronext Growth,France,FR0010424697.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
EUKEDOS,IT0004818297,Euronext Milan,Compartment C,Italy,EUK.MI,Medical Care Facilities,Healthcare,,-0.14,,,,14.0,16.0,15919139.0,EUR,138063136.0,-0.0219,1.277,0.5481598,-0.05,0.05,2678000.0,0.118,124822000.0,52602000.0,2.314,0.0176,-0.03918,13251000.0,0.090270005
EUROAPI SA,FR0014008VX5,Euronext Paris,Compartment B,France,EAPI.PA,Drug Manufacturers - Specialty & Generic,Healthcare,2,0.593,,,,-17.287952,150800.0,213311104.0,EUR,230178368.0,-0.1408,7.913,0.28307846,-1.31,-0.12957,51500000.0,0.541,68400000.0,882800000.0,9.327,-0.0066799996,-0.1349,121000000.0,0.03209
EUROBIO-SCIENTIFIC,FR0013240934,Euronext Growth Paris,Euronext Growth,France,ALERS.PA,Medical Devices,Healthcare,,0.65,,,106.59091,20.752213,1224.0,236101152.0,EUR,229012624.0,0.01454,18.028,1.3007544,0.22,1.13,26857000.0,2.667,16748000.0,162471008.0,15.797,0.041300002,0.01311,76632000.0,0.072399996
EUROFINS CEREP,FR0013256518,Euronext Growth Paris,Euronext Growth,France,ALECR.PA,Diagnostics & Research,Healthcare,,-0.02,,,13.020833,,2.0,80199600.0,EUR,,0.15857,,,1221.12,,13655000.0,,70000.0,38856800.0,,0.02915,0.087419994,18073456.0,0.05702
EUROGROUP LAMINATIONS,IT0005527616,Euronext Milan,Compartment B,Italy,EGLA.MI,Specialty Industrial Machinery,Industrials,,0.703,3.09,,14.88,20.056612,4194828.0,242041872.0,EUR,553196544.0,0.01821,2.875,0.51756525,0.1,0.07419,185468000.0,1.332,484929984.0,843612992.0,5.392,0.01949,0.03861,214490000.0,0.04847
EUROLAND CORPORATE,FR0010157115,Euronext Growth Paris,Euronext Growth,France,ALERO.PA,,,,,,,12.32,,10.0,9430892.0,EUR,,,1.038,2.9672446,,,,,,,,,,,
EUROPACORP,FR0010490920,Euronext Growth Paris,Euronext Growth,France,ALECP.PA,Entertainment,Communication Services,,0.29,,,,8.48,4851.0,53141056.0,EUR,85068784.0,-0.05708,-0.033,-12.848485,-0.02,0.05,25552000.0,0.204,58096000.0,33987000.0,0.271,-0.00369,,7648000.0,-0.00963
European Medical Solutions,BE0974497290,Euronext Growth Brussels,Euronext Growth,Belgium,ALEMS.BR,Biotechnology,Healthcare,,0.353,,,17.896553,,7.0,21963250.0,EUR,38387244.0,0.023710001,2.643,1.9636778,0.29,,2857000.0,0.675,19281000.0,49474000.0,11.691,0.02474,0.109910004,17643000.0,0.04559
EUROPLASMA,FR0014011QJ8,Euronext Growth Paris,Euronext Growth,France,ALEUP.PA,Waste Management,Industrials,,-113.207,,,,,2670526.0,179781.0,EUR,4891231.0,-0.73958,-33.861,-0.000909601,-88.61,,10513000.0,18.791,17246000.0,60144000.0,433.227,-0.22663,,26098000.0,-0.3823
EUROPRIS,NO0010735343,Oslo Bors,Compartment A,Norway,EPR.OL,Discount Stores,Consumer Defensive,,0.573,4.27,4.05,17.80684,11.848626,117150.0,14482958336.0,NOK,18822557696.0,0.05468,26.379,3.3549414,4.97,7.46922,988121984.0,6.038,5280610816.0,14878465024.0,90.898,0.06934,0.19239001,6079507968.0,0.14691
EUROTECH,IT0003895668,Euronext Milan,Compartment C,Italy,ETH.MI,Computer Hardware,Technology,,1.17,,,,-18.351648,590308.0,32513800.0,EUR,51373548.0,-0.71821,1.418,0.58885753,-1.03,-0.0455,5599000.0,0.146,24909000.0,51752000.0,1.433,-0.04938,-0.51977,25503000.0,-0.08403
EUTELSAT COMMUNIC.,FR0010221234,Euronext Paris,Compartment A,France,ETL.PA,Communication Equipment,Technology,3,-0.237,,11.34,,-7.7341585,919384.0,2562006528.0,EUR,3938734848.0,-0.36222,3.24,0.6712963,-1.78,-0.28122,1567100032.0,1.33,2878299904.0,1229100032.0,2.358,-0.00661,-0.12848,990099968.0,-0.08164
EVISO,IT0005430936,Euronext Growth Milan,Euronext Growth,Italy,EVISO.MI,Utilities - Regulated Electric,Utilities,,0.34,0.79,,36.428574,20.417969,18102.0,178249104.0,EUR,169768544.0,0.015520001,0.897,8.528428,0.21,0.37467,21445684.0,0.912,11237276.0,316511232.0,13.453,0.058379997,0.2382,15828232.0,0.01523
EVS BROADC.EQUIPM.,BE0003820371,Euronext Brussels,Compartment B,Belgium,EVS.BR,Communication Equipment,Technology,,0.077,3.57,4.38,14.070248,10.406193,15337.0,455977376.0,EUR,412757856.0,0.17909999,15.945,2.1354656,2.42,3.27209,65233000.0,4.771,12390000.0,191702000.0,14.222,0.08076,0.16139999,139116000.0,0.16092
EXACOMPTA CLAIREFONTAINE,FR0000064164,Euronext Growth Paris,Euronext Growth,France,ALEXA.PA,Business Equipment & Supplies,Industrials,,0.242,4.46,3.55,8.856089,,21.0,190088640.0,EUR,281199648.0,0.02626,472.765,0.35535625,18.97,,133229000.0,117.748,224340000.0,817560000.0,722.558,0.023120001,0.04068,414510016.0,0.02908
EXACT THERAPEUTICS,NO0010852213,Euronext Growth Oslo,Euronext Growth,Norway,EXTX.OL,Biotechnology,Healthcare,,0.23,,,,,17798.0,111343488.0,NOK,53191360.0,0.0,1.07,1.6448597,-1.38,,58506016.0,0.925,353884.0,,,-0.64999,-1.69685,,0.0
EXAIL TECHNOLOGIES,FR0000062671,Euronext Paris,Compartment B,France,EXA.PA,Aerospace & Defense,Industrials,9,1.155,,2.63,1722.857,64.09337,110539.0,2046837120.0,EUR,2441907968.0,0.00253,6.649,18.138065,0.07,1.88163,31272000.0,1.843,341272000.0,453287008.0,26.701,0.020280002,0.01435,230596992.0,0.061350003
EXECUS,IT0005557530,Euronext Growth Milan,Euronext Growth,Italy,EXEC.MI,Education & Training Services,Consumer Defensive,,0.012,,,,15.866667,10000.0,9024733.0,EUR,9087100.0,-0.03306,0.747,1.5930389,-0.03,0.075,1407659.0,0.185,605365.0,7427584.0,0.976,-0.01337,-0.04912,1882647.0,0.00992
